inflation_date,inflation_rate
October 2021,0.8
September 2021,0.6
August 2021,0.3
July 2021,0.4
June 2021,6.2
May 2021,5.7
April 2021,5.3
March 2021,4.9
February 2021,5.2
January 2021,5.7
December 2020,5.3
November 2020,5.8
October 2020,5.8
September 2020,5.7
August 2020,6.2
July 2020,6.1
June 2020,0.5
May 2020,1.1
April 2020,1.3
March 2020,1.5
February 2020,1.2
January 2020,0.7
December 2019,-0.2
November 2019,-0.8
October 2019,-0.9
September 2019,-1.4
August 2019,-1.9
July 2019,-2.2
June 2019,-2.6
May 2019,-2.6
April 2019,-2.9
March 2019,-3.2
February 2019,-3.2
January 2019,-3.2
December 2018,1.9
November 2018,2.6
October 2018,2.1
September 2018,2.1
August 2018,2.3
July 2018,2.3
June 2018,2.3
May 2018,2.4
April 2018,2.5
March 2018,2.9
February 2018,2.9
January 2018,3.2
December 2017,-1.11
November 2017,-1.7
October 2017,-1.16
September 2017,-0.79
August 2017,-0.74
July 2017,-0.78
June 2017,-0.54
May 2017,-0.74
April 2017,-0.65
March 2017,-0.74
February 2017,-0.58
January 2017,-0.52
December 2016,0.97
November 2016,1.28
October 2016,1.56
September 2016,1.9
August 2016,2.06
July 2016,2.26
June 2016,2.26
May 2016,2.33
April 2016,2.52
March 2016,2.59
February 2016,2.58
January 2016,2.52
December 2015,1.23
November 2015,1.2
October 2015,1.18
September 2015,1.16
August 2015,0.99
July 2015,1.15
June 2015,1.19
May 2015,1.01
April 2015,1.01
March 2015,1.44
February 2015,1.35
January 2015,1.56
December 2014,1.91
November 2014,2.05
October 2014,2.08
September 2014,2.35
August 2014,2.46
July 2014,2.27
June 2014,2.59
May 2014,2.7
April 2014,2.56
March 2014,2.06
February 2014,2.03
January 2014,1.81
December 2013,2.53
November 2013,2.62
October 2013,2.68
September 2013,2.86
August 2013,3.29
July 2013,3.66
June 2013,3.32
May 2013,3.8
April 2013,4.02
March 2013,4.24
February 2013,4.59
January 2013,4.73
December 2012,3.58
November 2012,3.37
October 2012,3.38
September 2012,2.96
August 2012,2.87
July 2012,2.77
June 2012,2.77
May 2012,2.57
April 2012,2.46
March 2012,2.58
February 2012,2.48
January 2012,2.59
December 2011,5.26
November 2011,5.23
October 2011,4.76
September 2011,4.53
August 2011,4.09
July 2011,3.34
June 2011,3.77
May 2011,3.2
April 2011,3.36
March 2011,2.75
February 2011,2.53
January 2011,2.45
December 2010,5.24
November 2010,1.95
October 2010,3.45
September 2010,4.21
August 2010,3.27
July 2010,4.05
June 2010,4.3
May 2010,2.64
April 2010,3.38
March 2010,5.85
February 2010,3.77
January 2010,3.27
December 2009,2.65
November 2009,6.07
October 2009,4.51
September 2009,3.61
August 2009,5.16
July 2009,4.14
June 2009,3.31
May 2009,5.33
April 2009,4.27
March 2009,2.07
February 2009,4.64
January 2009,4.42
