money_date,money_rate
October 2021,7.9
September 2021,8.4
August 2021,7.9
July 2021,9.8
June 2021,9.1
May 2021,6.7
April 2021,8.3
March 2021,8.9
February 2021,9.8
January 2021,9.2
December 2020,8.3
November 2020,11.6
October 2020,10.8
September 2020,10.6
August 2020,9.4
July 2020,9.5
June 2020,9
May 2020,10.19
April 2020,10.04
March 2020,9.84
February 2020,7.46
January 2020,6.6
December 2019,7.1
November 2019,5.2
October 2019,4.89
September 2019,2.69
August 2019,4.91
July 2019,3.93
June 2019,3.56
May 2019,4.9
April 2019,2.8
March 2019,1.78
February 2019,1.53
January 2019,1.13
December 2018,2.8
November 2018,1.9
October 2018,1.69
September 2018,2.37
August 2018,-0.02
July 2018,-0.8
June 2018,-0.8
May 2018,0.6
April 2018,0.2
March 2018,0.2
February 2018,2
January 2018,1.4
December 2017,0.2
November 2017,-1.4
October 2017,-0.6
September 2017,1
August 2017,2.4
July 2017,2.7
June 2017,2.5
May 2017,0.4
April 2017,0.7
March 2017,0.02
February 2017,0.1
January 2017,0.3
December 2016,0.7
November 2016,0.1
October 2016,0.6
September 2016,-4
August 2016,-2.5
July 2016,-3
June 2016,-2.6
May 2016,-3.2
April 2016,-1.5
March 2016,-0.4
February 2016,-0.9
January 2016,3.7
December 2015,2.6
November 2015,5.7
October 2015,3.9
September 2015,8.5
August 2015,7
July 2015,8.3
June 2015,10.5
May 2015,7.5
April 2015,9.4
March 2015,10.2
February 2015,11.7
January 2015,7.7
December 2014,11.9
November 2014,12.3
October 2014,14.7
September 2014,13.4
August 2014,14.5
July 2014,13.2
June 2014,12.3
May 2014,12.1
April 2014,13.3
March 2014,13.6
February 2014,13.2
January 2014,12.8
December 2013,10.9
November 2013,13.5
October 2013,10.4
September 2013,13.4
August 2013,13.8
July 2013,15
June 2013,14
May 2013,16.2
April 2013,14.1
March 2013,12.3
February 2013,12
January 2013,13.4
December 2012,13.9
November 2012,11.4
October 2012,13
September 2012,11.4
August 2012,9.7
July 2012,9.5
June 2012,9.8
May 2012,7.7
April 2012,8
March 2012,10.5
February 2012,13.8
January 2012,13.6
December 2011,13.3
November 2011,12.4
October 2011,14.4
September 2011,11.9
August 2011,14.8
July 2011,13.1
June 2011,13.1
May 2011,16
April 2011,17.2
March 2011,13.8
February 2011,8.6
January 2011,8.1
December 2010,5
November 2010,3.7
October 2010,3.7
September 2010,5.1
August 2010,2.9
July 2010,2.3
June 2010,3.4
May 2010,2.6
April 2010,2.6
March 2010,4.7
February 2010,5.6
January 2010,8.3
December 2009,10.7
November 2009,11.3
October 2009,11.4
September 2009,12.5
August 2009,12.3
July 2009,15.3
June 2009,16.4
May 2009,16.9
April 2009,18.3
March 2009,15.8
February 2009,15.6
January 2009,13.9
