repo_date,repo_rate,repo_change
03/03/2020,1.00,75
30/10/2019,2.25,-25
18/09/2019,2.50,25
31/07/2019,2.75,-25
19/12/2018,3.00,25
26/09/2018,2.75,25
13/06/2018,2.50,25
15/03/2018,2.25,25
19/01/2009,2.00,-50
16/12/2008,2.50,-50
23/11/2008,3.00,-100
30/10/2008,4.00,-100
12/10/2008,5.00,-50
08/02/2007,5.50,30
29/06/2006,5.20,20
01/02/2006,5.00,25
16/12/2005,4.75,25
25/10/2005,4.50,25
21/09/2005,4.25,25
09/08/2005,4.00,25
03/07/2005,3.75,25
04/05/2005,3.50,25
26/03/2005,3.25,50
05/02/2005,2.75,25
18/12/2004,2.50,25
21/11/2004,2.25,25
22/09/2004,2.00,25
11/08/2004,1.75,25
16/05/2004,1.50,-25
26/06/2003,1.75,-25
10/11/2002,2.00,-50
12/03/2002,2.50,-25
13/11/2001,2.75,-25
03/10/2001,3.00,-50
18/09/2001,3.50,-50
22/08/2001,4.00,-25
30/06/2001,4.25,-25
16/05/2001,4.50,-50
19/04/2001,5.00,-50
21/03/2001,5.50,-50
30/01/2001,6.00,-50
06/01/2001,6.50,-50
20/05/2000,7.00,25
03/05/2000,6.75,50
31/01/2000,6.25,50
